"Id","pathString","Year","Months","Country","Country_code","State","State_code","Locality","Locality_code","Site","Site_code","Strata","Strata_code","Sampling.Date","Observers","Picture.number","Replicate","Labelscopy","Si.Strata","BioR","Latitude","Bioregion","Ocean","Zone","scientificName","occurrence"
"Ve-Fa-Mor-Boc-L1","Ve/Fa/Mor/Boc/L1",2010,8,"Venezuela","Ve","Falcon","Fa","Morrocoy","Mor","Boca Seca","Boc","Lowtide","L","08/05/14","C_Herrera/N_Fernandez/A_Hernandez/A_Damico","IMG_3469",1,"Ve-Fa-Mor-Boc-L1","Boc-Lowtide",66,10.83507,"South_caribbean","Atlantic","Tropics","Acanthophora spicifera",1
"Ve-Fa-Mor-Boc-L5","Ve/Fa/Mor/Boc/L5",2010,8,"Venezuela","Ve","Falcon","Fa","Morrocoy","Mor","Boca Seca","Boc","Lowtide","L","08/05/14","C_Herrera/N_Fernandez/A_Hernandez/A_Damico","IMG_3489",5,"Ve-Fa-Mor-Boc-L5","Boc-Lowtide",66,10.83507,"South_caribbean","Atlantic","Tropics","Acanthophora spicifera",1
"Ve-Fa-Mor-Boc-L7","Ve/Fa/Mor/Boc/L7",2010,8,"Venezuela","Ve","Falcon","Fa","Morrocoy","Mor","Boca Seca","Boc","Lowtide","L","08/05/14","C_Herrera/N_Fernandez/A_Hernandez/A_Damico","IMG_3494",7,"Ve-Fa-Mor-Boc-L7","Boc-Lowtide",66,10.83507,"South_caribbean","Atlantic","Tropics","Acanthophora spicifera",1
"Ve-Fa-Mor-Boc-L8","Ve/Fa/Mor/Boc/L8",2010,8,"Venezuela","Ve","Falcon","Fa","Morrocoy","Mor","Boca Seca","Boc","Lowtide","L","08/05/14","C_Herrera/N_Fernandez/A_Hernandez/A_Damico","IMG_3495",8,"Ve-Fa-Mor-Boc-L8","Boc-Lowtide",66,10.83507,"South_caribbean","Atlantic","Tropics","Acanthophora spicifera",1
"Ve-Fa-Mor-Boc-L9","Ve/Fa/Mor/Boc/L9",2010,8,"Venezuela","Ve","Falcon","Fa","Morrocoy","Mor","Boca Seca","Boc","Lowtide","L","08/05/14","C_Herrera/N_Fernandez/A_Hernandez/A_Damico","IMG_3496",9,"Ve-Fa-Mor-Boc-L9","Boc-Lowtide",66,10.83507,"South_caribbean","Atlantic","Tropics","Acanthophora spicifera",1
"Ve-Fa-Pag-Sr-L8","Ve/Fa/Pag/Sr/L8",2010,8,"Venezuela","Ve","Falcon","Fa","Paraguana","Pag","San Roman","Sr","Lowtide","L","08/10/14","C_Herrera/N_Fernandez/A_Hernandez/A_Bueno","IMG_3574",8,"Ve-Fa-Pag-Sr-L8","Sr-Lowtide",66,12.19228,"South_caribbean","Atlantic","Tropics","Acanthophora spicifera",1
"Ve-Fa-Pag-Sr-L9","Ve/Fa/Pag/Sr/L9",2010,8,"Venezuela","Ve","Falcon","Fa","Paraguana","Pag","San Roman","Sr","Lowtide","L","08/10/14","C_Herrera/N_Fernandez/A_Hernandez/A_Bueno","IMG_3575",9,"Ve-Fa-Pag-Sr-L9","Sr-Lowtide",66,12.19228,"South_caribbean","Atlantic","Tropics","Acanthophora spicifera",1
"Ve-Fa-Pag-Dp-L4","Ve/Fa/Pag/Dp/L4",2010,8,"Venezuela","Ve","Falcon","Fa","Paraguana","Pag","Denise Point","Dp","Lowtide","L","08/11/14","C_Herrera/N_Fernandez/A_Hernandez/A_Bueno","IMG_3635",4,"Ve-Fa-Pag-Dp-L4","Dp-Lowtide",66,12.17408,"South_caribbean","Atlantic","Tropics","Acanthophora spicifera",1
"Ve-Fa-Pag-Dp-L5","Ve/Fa/Pag/Dp/L5",2010,8,"Venezuela","Ve","Falcon","Fa","Paraguana","Pag","Denise Point","Dp","Lowtide","L","08/11/14","C_Herrera/N_Fernandez/A_Hernandez/A_Bueno","IMG_3639",5,"Ve-Fa-Pag-Dp-L5","Dp-Lowtide",66,12.17408,"South_caribbean","Atlantic","Tropics","Acanthophora spicifera",1
"Ve-Fa-Pag-Dp-L6","Ve/Fa/Pag/Dp/L6",2010,8,"Venezuela","Ve","Falcon","Fa","Paraguana","Pag","Denise Point","Dp","Lowtide","L","08/11/14","C_Herrera/N_Fernandez/A_Hernandez/A_Bueno","IMG_3646",6,"Ve-Fa-Pag-Dp-L6","Dp-Lowtide",66,12.17408,"South_caribbean","Atlantic","Tropics","Acanthophora spicifera",1
"Ve-Fa-Pag-Dp-L7","Ve/Fa/Pag/Dp/L7",2010,8,"Venezuela","Ve","Falcon","Fa","Paraguana","Pag","Denise Point","Dp","Lowtide","L","08/11/14","C_Herrera/N_Fernandez/A_Hernandez/A_Bueno","IMG_3647",7,"Ve-Fa-Pag-Dp-L7","Dp-Lowtide",66,12.17408,"South_caribbean","Atlantic","Tropics","Acanthophora spicifera",1
"Ve-Fa-Pag-Dp-L8","Ve/Fa/Pag/Dp/L8",2010,8,"Venezuela","Ve","Falcon","Fa","Paraguana","Pag","Denise Point","Dp","Lowtide","L","08/11/14","C_Herrera/N_Fernandez/A_Hernandez/A_Bueno","IMG_3648",8,"Ve-Fa-Pag-Dp-L8","Dp-Lowtide",66,12.17408,"South_caribbean","Atlantic","Tropics","Acanthophora spicifera",1
"Ve-Fa-Pag-Dp-L9","Ve/Fa/Pag/Dp/L9",2010,8,"Venezuela","Ve","Falcon","Fa","Paraguana","Pag","Denise Point","Dp","Lowtide","L","08/11/14","C_Herrera/N_Fernandez/A_Hernandez/A_Bueno","IMG_3649",9,"Ve-Fa-Pag-Dp-L9","Dp-Lowtide",66,12.17408,"South_caribbean","Atlantic","Tropics","Acanthophora spicifera",1
"Ve-Fa-Pag-Nw-L9","Ve/Fa/Pag/Nw/L9",2010,8,"Venezuela","Ve","Falcon","Fa","Paraguana","Pag","New","Nw","Lowtide","L","08/11/14","C_Herrera/N_Fernandez/A_Hernandez/A_Bueno","IMG_3732",9,"Ve-Fa-Pag-Nw-L9","Nw-Lowtide",66,12.17477,"South_caribbean","Atlantic","Tropics","Acanthophora spicifera",1
"Ve-Mi-Chi-Cor-L1","Ve/Mi/Chi/Cor/L1",2010,7,"Venezuela","Ve","Miranda","Mi","Chirimena","Chi","Corrales","Cor","Lowtide","L","07/30/14","JJ_Cruz/C_Herrera/A_Hernandez/N_Fernandez","IMG_3308",1,"Ve-Mi-Chi-Cor-L1","Cor-Lowtide",66,10.60778,"South_caribbean","Atlantic","Tropics","Acanthopleura granulata",1
"Ve-Fa-Mor-Boc-L1","Ve/Fa/Mor/Boc/L1",2010,8,"Venezuela","Ve","Falcon","Fa","Morrocoy","Mor","Boca Seca","Boc","Lowtide","L","08/05/14","C_Herrera/N_Fernandez/A_Hernandez/A_Damico","IMG_3469",1,"Ve-Fa-Mor-Boc-L1","Boc-Lowtide",66,10.83507,"South_caribbean","Atlantic","Tropics","Acanthopleura granulata",1
"Ve-Fa-Mor-Boc-L7","Ve/Fa/Mor/Boc/L7",2010,8,"Venezuela","Ve","Falcon","Fa","Morrocoy","Mor","Boca Seca","Boc","Lowtide","L","08/05/14","C_Herrera/N_Fernandez/A_Hernandez/A_Damico","IMG_3494",7,"Ve-Fa-Mor-Boc-L7","Boc-Lowtide",66,10.83507,"South_caribbean","Atlantic","Tropics","Acanthopleura granulata",1
